"SL. NO.",State,"Const No.",Constituency,"Constituency Type","Total Valid Votes","Winner Name","Social Category",Gender,Party,"Party Symbol","Vote Secured","Runner Up Name","Social Category",Gender,Party,"Party Symbol","Vote Secured",Margin,"Margin %"
48,Bihar,7,Jhanjharpur,GEN,1057813,"RAMPRIT MANDAL",GENERAL,MALE,VSIP,"Lady purse",348863,"SUMAN KUMAR MAHASETH",GENERAL,MALE,VSIP,"Lady purse",348863,184169,17.41
49,Bihar,8,Supaul,GEN,1212502,"DILESHWAR KAMAIT",SC,MALE,RJD,"Hurricane lamp",425235,"CHANDRAHAS CHAUPAL",SC,MALE,RJD,"Hurricane lamp",425235,169803,14
50,Bihar,9,Araria,GEN,1239056,"PRADEEP KUMAR SINGH",GENERAL,MALE,RJD,"Hurricane lamp",580052,SHAHNAWAZ,GENERAL,MALE,RJD,"Hurricane lamp",580052,20094,1.62
51,Bihar,10,Kishanganj,GEN,1126133,"MOHAMMAD JAWED",GENERAL,MALE,JD(U),Arrow,343158,"MUJAHID ALAM",GENERAL,MALE,JD(U),Arrow,343158,59692,5.3
52,Bihar,11,Katihar,GEN,1148607,"TARIQ ANWAR",GENERAL,MALE,JD(U),Arrow,517229,"DULAL CHANDRA GOSWAMI",GENERAL,MALE,JD(U),Arrow,517229,49863,4.34
53,Bihar,12,Purnia,GEN,1172010,"RAJESH RANJAN ALIAS PAPPU YADAV",GENERAL,MALE,JD(U),Arrow,543709,"SANTOSH KUMAR",GENERAL,MALE,JD(U),Arrow,543709,23847,2.03
54,Bihar,13,Madhepura,GEN,1177070,"DINESH CHANDRA YADAV",GENERAL,MALE,RJD,"Hurricane lamp",466115,"DA KUMAR CHANDRADEEP",GENERAL,MALE,RJD,"Hurricane lamp",466115,174534,14.83
55,Bihar,14,Darbhanga,GEN,1000280,"GOPAL JEE THAKUR",GENERAL,MALE,RJD,"Hurricane lamp",388474,"LALIT KUMAR YADAV",GENERAL,MALE,RJD,"Hurricane lamp",388474,178156,17.81
56,Bihar,15,Muzaffarpur,GEN,1104872,"RAJ BHUSHAN CHOUDHARY",GENERAL,MALE,INC,Hand,384822,"AJAY NISHAD",GENERAL,MALE,INC,Hand,384822,234927,21.26
57,Bihar,16,Vaishali,GEN,1144600,"VEENA DEVI",GENERAL,MALE,RJD,"Hurricane lamp",477409,"VIJAY KUMAR SHUKLA",GENERAL,MALE,RJD,"Hurricane lamp",477409,89634,7.83
58,Bihar,17,Gopalganj,SC,1020164,"DR. ALOK KUMAR SUMAN",SC,MALE,VSIP,"Lady purse",384686,"PREM NATH CHANCHAL ALIAS CHANCHAL PASWAN",SC,MALE,VSIP,"Lady purse",384686,127180,12.47
59,Bihar,18,Siwan,GEN,971054,"VIJAYLAKSHMI DEVI",GENERAL,FEMALE,IND,"Auto- rickshaw",293651,"HENA SHAHAB",GENERAL,FEMALE,IND,"Auto- rickshaw",293651,92857,9.56
60,Bihar,19,Maharajganj,GEN,992422,"JANARDAN SINGH ""SIGRIWAL""",GENERAL,MALE,INC,Hand,426882,"AAKASH KUMAR SINGH",GENERAL,MALE,INC,Hand,426882,102651,10.34
61,Bihar,20,Saran,GEN,1010091,"RAJIV PRATAP RUDY",GENERAL,FEMALE,RJD,"Hurricane lamp",458091,"ROHINI ACHARYA",GENERAL,FEMALE,RJD,"Hurricane lamp",458091,13661,1.35
62,Bihar,21,Hajipur,SC,1118397,"CHIRAG PASWAN",SC,MALE,RJD,"Hurricane lamp",445613,"SHIV CHANDRA RAM",SC,MALE,RJD,"Hurricane lamp",445613,170105,15.21
