"SL. NO.",State,"Const No.",Constituency,"Constituency Type","Total Valid Votes","Winner Name","Social Category",Gender,Party,"Party Symbol","Vote Secured","Runner Up Name","Social Category",Gender,Party,"Party Symbol","Vote Secured",Margin,"Margin %"
494,Jharkhand,7,Dhanbad,GEN,1420653,"DULU MAHATO",GENERAL,FEMALE,INC,Hand,457589,"ANUPAMA SINGH",GENERAL,FEMALE,INC,Hand,457589,331583,23.34
495,Jharkhand,8,Ranchi,GEN,1439628,"SANJAY SETH",GENERAL,FEMALE,INC,Hand,544220,"YASHASWINI SAHAY",GENERAL,FEMALE,INC,Hand,544220,120512,8.37
496,Jharkhand,9,Jamshedpur,GEN,1270303,"BIDYUT BARAN MAHATO",GENERAL,MALE,JMM,"Bow & arrow",466392,"SAMIR KUMAR MOHANTY",GENERAL,MALE,JMM,"Bow & arrow",466392,259782,20.45
497,Jharkhand,10,Singhbhum,ST,983615,"JOBA MAJHI",ST,FEMALE,BJP,Lotus,351762,"GEETA KORA",ST,FEMALE,BJP,Lotus,351762,168402,17.12
498,Jharkhand,11,Khunti,ST,914763,"KALI CHARAN MUNDA",ST,MALE,BJP,Lotus,361972,"ARJUN MUNDA",ST,MALE,BJP,Lotus,361972,149675,16.36
499,Jharkhand,12,Lohardaga,ST,955741,"SUKHDEO BHAGAT",ST,MALE,BJP,Lotus,343900,"SAMIR ORAON",ST,MALE,BJP,Lotus,343900,139138,14.56
500,Jharkhand,13,Palamu,SC,1366395,"VISHNU DAYAL RAM",SC,FEMALE,RJD,"Hurricane lamp",481555,"MAMTA BHUIYAN",SC,FEMALE,RJD,"Hurricane lamp",481555,288807,21.14
501,Jharkhand,14,Hazaribagh,GEN,1257467,"MANISH JAISWAL",GENERAL,MALE,INC,Hand,377927,"JAI PRAKASH BHAI PATEL",GENERAL,MALE,INC,Hand,377927,276686,22
502,Uttarakhand,1,"Tehri Garhwal",GEN,854583,"MALA RAJYA LAKSHMI SHAH",GENERAL,MALE,INC,Hand,190110,"JOT SINGH GUNSOLA",GENERAL,MALE,INC,Hand,190110,272493,31.89
503,Uttarakhand,2,Garhwal,GEN,726056,"ANIL BALUNI",GENERAL,MALE,INC,Hand,268656,"GANESH GODIYAL",GENERAL,MALE,INC,Hand,268656,163503,22.52
504,Uttarakhand,3,Almora,SC,651478,"AJAY TAMTA",SC,MALE,INC,Hand,195070,"PRADEEP TAMTA",SC,MALE,INC,Hand,195070,234097,35.93
505,Uttarakhand,4,"Nainital-Udhamsingh Nagar",GEN,1255585,"AJAY BHATT",GENERAL,MALE,INC,Hand,438123,"PRAKASH JOSHI",GENERAL,MALE,INC,Hand,438123,334548,26.64
506,Uttarakhand,5,Haridwar,GEN,1295795,"TRIVENDRA SINGH RAWAT",GENERAL,MALE,INC,Hand,489752,"VIRENDRA RAWAT",GENERAL,MALE,INC,Hand,489752,164056,12.66
507,Telangana,1,Adilabad,ST,1223835,"GODAM NAGESH",ST,FEMALE,INC,Hand,477516,"ATHRAM SUGUNA",ST,FEMALE,INC,Hand,477516,90652,7.41
508,Telangana,2,Peddapalle,SC,1089584,"VAMSI KRISHNA GADDAM",SC,MALE,BJP,Lotus,344223,"SRINIVAS GOMASE",SC,MALE,BJP,Lotus,344223,131364,12.06
509,Telangana,3,Karimnagar,GEN,1307414,"BANDI SANJAY KUMAR",GENERAL,MALE,INC,Hand,359907,"VELCHALA RAJENDER RAO",GENERAL,MALE,INC,Hand,359907,225209,17.23
510,Telangana,4,Nizamabad,GEN,1229098,"ARVIND DHARMAPURI",GENERAL,MALE,INC,Hand,483077,"JEEVANREDDY THATIPARTHI",GENERAL,MALE,INC,Hand,483077,109241,8.89
511,Telangana,5,Zahirabad,GEN,1233616,"SURESH KUMAR SHETKAR",GENERAL,MALE,BJP,Lotus,482230,"B. B. PATIL",GENERAL,MALE,BJP,Lotus,482230,46188,3.74
512,Telangana,6,Medak,GEN,1381622,"MADHAVANENI RAGHUNANDAN RAO",GENERAL,MALE,INC,Hand,432078,"NEELAM MADHU",GENERAL,MALE,INC,Hand,432078,39139,2.83
513,Telangana,7,Malkajgiri,GEN,1920477,"EATALA RAJENDER",GENERAL,FEMALE,INC,Hand,599567,"PATNAM SUNEETHA MAHENDER REDDY",GENERAL,FEMALE,INC,Hand,599567,391475,20.38
514,Telangana,8,Secunderabad,GEN,1042493,"G. KISHAN REDDY",GENERAL,MALE,INC,Hand,423068,"DANAM NAGENDER",GENERAL,MALE,INC,Hand,423068,49944,4.79
515,Telangana,9,Hyderabad,GEN,1077418,"ASADUDDIN OWAISI",GENERAL,FEMALE,BJP,Lotus,323894,"MADHAVI LATHA KOMPELLA",GENERAL,FEMALE,BJP,Lotus,323894,338087,31.38
516,Telangana,10,Chevella,GEN,1668931,"KONDA VISHWESHWAR REDDY",GENERAL,MALE,INC,Hand,636985,"DR GADDAM RANJITH REDDY",GENERAL,MALE,INC,Hand,636985,172897,10.36
517,Telangana,11,Mahbubnagar,GEN,1221748,"ARUNA. D. K",GENERAL,MALE,INC,Hand,506247,"CHALLA VAMSHI CHAND REDDY",GENERAL,MALE,INC,Hand,506247,4500,0.37
518,Telangana,12,Nagarkurnool,SC,1214643,"DR.MALLU RAVI",SC,MALE,BJP,Lotus,370658,"BHARATH PRASAD POTHUGANTI",SC,MALE,BJP,Lotus,370658,94414,7.77
519,Telangana,13,Nalgonda,GEN,1290238,"KUNDURU RAGHUVEER",GENERAL,MALE,BJP,Lotus,224432,"SAIDI REDDY SHANAMPUDI",GENERAL,MALE,BJP,Lotus,224432,559905,43.4
520,Telangana,14,Bhongir,GEN,1396750,"CHAMALA KIRAN KUMAR REDDY",GENERAL,MALE,BJP,Lotus,406973,"DR. BOORA NARSAIAH GOUD",GENERAL,MALE,BJP,Lotus,406973,222170,15.91
521,Telangana,15,Warangal,SC,1259566,"KADIYAM KAVYA",SC,MALE,BJP,Lotus,360955,"AROORI RAMESH",SC,MALE,BJP,Lotus,360955,220339,17.49
522,Telangana,16,Mahabubabad,ST,1102195,"BALRAM NAIK PORIKA",ST,FEMALE,BHRS,Car,263609,"KAVITHA MALOTH",ST,FEMALE,BHRS,Car,263609,349165,31.68
523,Telangana,17,Khammam,GEN,1244501,"RAMASAHAYAM RAGHURAM REDDY",GENERAL,MALE,BHRS,Car,299082,"NAMA NAGESWARA RAO",GENERAL,MALE,BHRS,Car,299082,467847,37.59
524,"Andaman & Nicobar Islands",1,"Andaman & Nicobar Islands",GEN,200705,"BISHNU PADA RAY",GENERAL,MALE,INC,Hand,78040,"KULDEEP RAI SHARMA",GENERAL,MALE,INC,Hand,78040,24396,12.16
525,Chandigarh,1,Chandigarh,GEN,446363,"MANISH TEWARI",GENERAL,MALE,BJP,Lotus,214153,"SANJAY TANDON",GENERAL,MALE,BJP,Lotus,214153,2504,0.56
526,"Dadra & Nagar Haveli and Daman & Diu",1,"Daman & Diu",GEN,91432,"PATEL UMESHBHAI BABUBHAI",GENERAL,MALE,BJP,Lotus,36298,"LALUBHAI BABUBHAI PATEL",GENERAL,MALE,BJP,Lotus,36298,6225,6.81
527,"Dadra & Nagar Haveli and Daman & Diu",2,"Dadar & Nagar Haveli",ST,200437,"DELKAR KALABEN MOHANBHAI",ST,MALE,INC,Hand,63490,"AJIT RAMJIBHAI MAHALA",ST,MALE,INC,Hand,63490,57584,28.73
528,"NCT OF Delhi",1,"Chandni Chowk",GEN,960539,"PRAVEEN KHANDELWAL",GENERAL,MALE,INC,Hand,427171,"JAI PRAKASH AGARWAL",GENERAL,MALE,INC,Hand,427171,89325,9.3
529,"NCT OF Delhi",2,"North-East Delhi",GEN,1546858,"MANOJ TIWARI",GENERAL,MALE,INC,Hand,685673,"KANHAIYA KUMAR",GENERAL,MALE,INC,Hand,685673,138778,8.97
530,"NCT OF Delhi",3,"East Delhi",GEN,1258655,"HARSH MALHOTRA",SC,MALE,AAAP,Broom,571156,"KULDEEP KUMAR (MONU)",SC,MALE,AAAP,Broom,571156,93663,7.44
531,"NCT OF Delhi",4,"New Delhi",GEN,842655,"BANSURI SWARAJ",GENERAL,MALE,AAAP,Broom,374815,"SOMNATH BHARTI",GENERAL,MALE,AAAP,Broom,374815,78370,9.3
532,"NCT OF Delhi",5,"North-West Delhi",SC,1478223,"YOGENDER CHANDOLIYA",SC,MALE,INC,Hand,575634,"UDIT RAJ",SC,MALE,INC,Hand,575634,290849,19.68
533,"NCT OF Delhi",6,"West Delhi",GEN,1515795,"KAMALJEET SEHRAWAT",GENERAL,MALE,AAAP,Broom,643645,"MAHABAL MISHRA",GENERAL,MALE,AAAP,Broom,643645,199013,13.13
534,"NCT OF Delhi",7,"South Delhi",GEN,1290037,"RAMVIR SINGH BIDHURI",GENERAL,MALE,AAAP,Broom,568499,"SAHI RAM",GENERAL,MALE,AAAP,Broom,568499,124333,9.64
535,Lakshadweep,1,Lakshadweep,ST,49067,"MUHAMMED HAMDULLAH SAYEED",ST,MALE,NCPSP,"Man blowing turha",23079,"MOHAMMED FAIZAL PP",ST,MALE,NCPSP,"Man blowing turha",23079,2647,5.39
536,Puducherry,1,PUDUCHERRY,GEN,798177,"VE. VAITHILINGAM",GENERAL,MALE,BJP,Lotus,289489,"A NAMASSIVAYAM",GENERAL,MALE,BJP,Lotus,289489,136516,17.1
537,"Jammu and Kashmir",1,BARAMULLA,GEN,1028916,"ABDUL RASHID SHEIKH",GENERAL,MALE,JKN,Plough,268339,"OMAR ABDULLAH",GENERAL,MALE,JKN,Plough,268339,204142,19.84
538,"Jammu and Kashmir",2,SRINAGAR,GEN,669244,"AGA SYED RUHULLAH MEHDI",GENERAL,MALE,JKPDP,"Ink pot & pen",168450,"WAHEED UR REHMAN PARA",GENERAL,MALE,JKPDP,"Ink pot & pen",168450,188416,28.15
539,"Jammu and Kashmir",3,ANANTNAG-RAJOURI,GEN,1019925,"MIAN ALTAF AHMAD",GENERAL,FEMALE,JKPDP,"Ink pot & pen",240042,"MEHBOOBA MUFTI",GENERAL,FEMALE,JKPDP,"Ink pot & pen",240042,281794,27.63
540,"Jammu and Kashmir",4,UDHAMPUR,GEN,1100789,"DR JITENDRA SINGH",GENERAL,MALE,INC,Hand,446703,"CH LAL SINGH",GENERAL,MALE,INC,Hand,446703,124373,11.3
541,"Jammu and Kashmir",5,JAMMU,GEN,1297531,"JUGAL KISHORE",GENERAL,MALE,INC,Hand,552090,"RAMAN BHALLA",GENERAL,MALE,INC,Hand,552090,135498,10.44
542,Ladakh,1,Ladakh,GEN,134612,"MOHMAD HANEEFA",ST,MALE,INC,Hand,37397,"TSERING NAMGYAL",ST,MALE,INC,Hand,37397,27862,20.7
