"Name of the Municipality","Vehicles Available for Primary Collection - Push Cart","Vehicles Available for Primary Collection - Tri Cycles","Vehicles Available for Primary Collection - Auto","Vehicles Available for Primary Collection - Mini Lorry","Vehicles Available for Primary Collection - Tractor","Vehicles Available for Primary Collection - Power Tiller","Vehicles Available for Primary Collection - Others","Vehicles Available for Secondary Collection and Transportation - Dumper Placer","Vehicles Available for Secondary Collection and Transportation - Compactor","Vehicles Available for Secondary Collection and Transportation - Lorry","Vehicles Available for Secondary Collection and Transportation - Tractor","Vehicles Available for Secondary Collection and Transportation - Excavator cum front end Loader","Vehicles Available for Secondary Collection and Transportation - JCB","Vehicles Available for Secondary Collection and Transportation - Others","Storage Bins - Storage Bins","Storage Bins - Dumper Placer Bins","Storage Bins - Other Storage Bins","Land for compost yard in acres - Required (Acre)","Land for compost yard in acres - Available (Acre)","Land for compost yard in acres - Balance required (Acre)"
"Palani,Tamil Nadu",28,1,0,0,0,0,0,2,0,4,2,0,0,0,0,18,0,0,25,0
"Dindigul,Tamil Nadu",0,181,5,3,0,0,1,4,0,3,0,0,0,0,0,88,0,21,22.23,0
"Kodaikanal,Tamil Nadu",63,0,0,2,0,86,0,2,0,1,0,0,0,0,0,86,0,3.5,3.54,0
"Tenkasi,Tamil Nadu",30,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,11.28,NA
"Sankarankoil,Tamil Nadu",50,0,0,1,1,0,0,2,0,0,0,0,0,0,0,21,0,0,70.5,NA
"Sengottai,Tamil Nadu",15,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.1,NA
"Puliangudi,Tamil Nadu",32,0,2,0,0,0,0,1,0,2,0,0,0,0,0,25,0,7.32,5.06,2.26
"Kadayanallur,Tamil Nadu",33,0,0,2,1,0,0,1,0,NA,0,0,0,0,0,48,0,9,10.25,NA
"Ambasamudram,Tamil Nadu",0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,NA
"Vickramasingapuram,Tamil Nadu",25,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,3,5.74,6.84,NA
"Kovilpatti,Tamil Nadu",72,0,0,2,0,0,3,2,0,0,0,0,0,0,0,62,0,0,20.01,NA
"Kayalpattinam,Tamil Nadu",0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,5,NA,5
Sivakasi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rajapalayam,Tamil Nadu",65,NA,NA,NA,NA,NA,NA,2,NA,3,NA,3,1,NA,NA,48,NA,NA,20.35,NA
"Virudhunagar,Tamil Nadu",45,NA,NA,NA,NA,NA,NA,2,NA,2,2,NA,NA,NA,NA,32,NA,NA,120,NA
"Aruppukottai,Tamil Nadu",25,42,0,0,0,0,0,3,0,3,NA,NA,NA,NA,26,75,NA,8.75,14.71,NA
"Srivilliputtur,Tamil Nadu",50,0,1,0,0,0,0,2,0,2,NA,1,NA,NA,NA,32,NA,7.6,10.91,NA
"Sattur,Tamil Nadu",19,9,0,0,0,0,0,0,0,2,1,NA,NA,NA,8,NA,NA,NA,8.33,NA
"Thiruthangal,Tamil Nadu",0,0,0,2,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nagercoil,Tamil Nadu",0,0,0,0,0,1,210,4,0,5,0,0,1,NA,NA,88,NA,30,14.38,15.62
"Kuzhithurai,Tamil Nadu",15,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"Colachel,Tamil Nadu",13,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,1,NA
"Padmanabhapuram,Tamil Nadu",20,0,1,0,0,0,0,1,0,2,0,0,0,0,67,0,0,3,6.31,NA
