"Apex Ministry/Dept/State","Parent of Organisation",org_code,org_name,contact_address1,contact_address2,contact_address3,pincode,pg_officer_desig,"Organisation levels"
"Central Board of Direct Taxes (Income Tax)","Addl. CIT Range Bharatpur",BPRW2,"INCOME TAX OFFICER WARD 2 BHARATPUR","Aayaker Bhawan","Near Goverdhan Gate",Bharatpur,321001,"Income tax Officer",5
"Central Board of Direct Taxes (Income Tax)","Addl. CIT Range Bharatpur",BPRW3,"INCOME TAX OFFICER WARD 3 BHARATPUR","Aayaker Bhawan","Near Goverdhan Gate",Bharatpur,321001,"Income tax Officer",5
"Central Board of Direct Taxes (Income Tax)","Addl. CIT Range Bharatpur",BPRW4,"INCOME TAX OFFICER WARD 4 BHARATPUR","Aayaker Bhawan","Near Goverdhan Gate",Bharatpur,321001,"Income tax Officer",5
"Central Board of Direct Taxes (Income Tax)","JCIT ONGOLE RANGE ONGOLE",BPTW1,"INCOME TAX OFFICER BAPATLA","IT OFFICE BAPATLA","15-8-204  Kotravari Street  Kotravari Street","Darsi Pedamasthan Nagar  Jagannadhapuram  Bapatla",522101,"INCOME TAX OFFICER",6
"Central Board of Direct Taxes (Income Tax)","DIRECTOR OF INCOME TAX INV.",BPUHY,"INCOME TAX","3RD FLOOR  AAYAKAR BHAVAN  BASHEERBAGH  HYDERABAD",hyderabad,NA,500004,"ADDL COMMISSIONER OF INCOMETAX",5
"Central Board of Direct Taxes (Income Tax)","JOINT COMMISSIONER OF INCOME TAX RANGE-2 BHOPAL",BPW24,ITOW24,"48  arera hills  aaykar bhawan  bhopal","opposite maida mill",NA,462011,"Income Tax officer",NA
"Central Board of Direct Taxes (Income Tax)","JOINT COMMISSIONER OF INCOME TAX RANGE-2 BHOPAL",BPW25,Ward2-5Bpl,"Income tax office  Area hills hoshangabad road","Near maida mill  Bhopal","Pin 462011",462003,"Income tax officer",NA
"Central Board of Direct Taxes (Income Tax)","JCIT Range 2 Bilaspur",BR201,"Assistant Commissioner of Income Tax","Mahima Complex  Bilaspur",NA,NA,495001,"ACIT Circle 2 Bilaspur",5
"Central Board of Direct Taxes (Income Tax)","JCIT Range 2 Bilaspur",BR202,"ITO.2.1 Bilaspur","Mahima Complex  Bilaspur",NA,NA,495001,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)","JCIT Range 2 Bilaspur",BR203,"ITO 2 2 Bilaspur","Mahima Complex  Bilaspur",NA,NA,495001,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)","JCIT Range 2 Bilaspur",BR204,"ITO 23 Bilaspur","Mahima Complex  Bilaspur",NA,NA,495001,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)","JCIT Range 2 Bilaspur",BR205,"ITO Janjgir Champa","Janjgir Champa",NA,NA,495001,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)","JCIT Range 2 Bilaspur",BR206,"ITO Manendragarh",Manendragarh,NA,NA,NA,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)","JCIT Range Korba",BR301,"ACIT Korba","mahanadi Complex","Niharika Talkies Road Korba",NA,NA,ACIT,5
"Central Board of Direct Taxes (Income Tax)","JCIT Range Korba",BR302,"ITO 1 Korba","Mahanadi Complex","Niharika Talkies Road",Korba,495678,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)","JCIT Range Korba",BR303,"ITO 2 Korba","Mahanadi Complex","Niharika Talkies Road  Korba",NA,495678,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)","JCIT Range Korba",BR304,"ITO 3 Korba","Mahanadi Complex","Niharika Talkies Road  Korba",NA,495678,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)","JCIT Range Korba",BR305,"ITO 1 Ambikapur",Ambikapur,NA,NA,NA,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)","JCIT Range Korba",BR306,"ITO 2 Ambikapur",Ambikapur,NA,NA,NA,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)","PR. DIT INV SURAT",BRDIN,"INCOME TAX DEPARTTMENT","3RD FLOOR","AAYAKAR BHAVAN  RACE COURCE CIRCLE",VADODARA,390007,"JOINT DIRECTOR OF INCOME TAX",5
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX PANAJI",BGM12,"Pr. Commissioner of Income Tax Belagavi","FEROZ KHIMJIBHAI COMMERCIAL COMPLEX","OPP CIVIL HOSPITAL  DR.AMBEDKAR RD",BELAGAVI,590001,"PR. COMMISSIONER OF INCOME TAX",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX BARODA",BDTHR,"PR.COMMISSIONER OF INCOME TAX VADODARA 3 VADODARA","2ND FLOOR  ANNEXE BUILDING","AAYAKAR BHAVAN  RACE COURSE",VADODARA,390007,"PR.CIT VADODARA 3 VADODARA",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX BARODA",BDTWO,"PR.COMMISSIONER OF INCOME TAX VADODARA 2 VADODARA","2nd  Floor  Annexe Building Aayakar Bhavan  Race C","ourse Vadodara",NA,390007,"Pr.CIT VADODARA 2 VADODARA",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX BARODA",BDONE,"PR. COMMISSIONER OF INCOME TAX VADODARA 1 VADODARA","2nd  Floor  Annexe Building","Aayakar Bhavan  Race Course",Vadodara.,390007,"PR. CIT VADODARA 1 VADODARA",3
"Central Board of Direct Taxes (Income Tax)","INCOME TAX DEPARTMENT",BHC11,"DCIT 1.1 BHILAI","32/32. BUNGALOWS AMDI NAGAR NEAR HUDCO BHILAI",NA,NA,490006,"ASSISTANT COMMISSIONER OF IT",5
"Central Board of Direct Taxes (Income Tax)","Addl. Commissioner of Income tax",BHCIR,ACIT,"ABOVE BANK OF BARODA","STATION ROAD",BHARUCH,392001,DCIT,5
"Central Board of Direct Taxes (Income Tax)","Pr Commissioner of Income Tax  2",BHIR1,"INCOME TAX DEPARTMENT","RANGE-1 AAYAKAR BHAWAN  NEW CIVIC CENTRE BHILAI",NA,NA,490006,"JOINT COMMISSIONER",4
"Central Board of Direct Taxes (Income Tax)","Pr Commissioner of Income Tax  2",BHIR2,"INCOME TAX DEPARTMENT","RANGE-2 AAYAKAR BHAWAN  NEW CIVIC CENTRE BHILAI",NA,NA,490006,"JOINT COMMISSIONER",4
"Central Board of Direct Taxes (Income Tax)","Addl. CIT RangeBhilwara",BHLAC,"ACIT CIRCLE BHILWARA","Income Tax Office","Shastri Nagar",Bhilwara,311001,"Asstt. CIT Circle",5
"Central Board of Direct Taxes (Income Tax)","Commissioner of Income Tax AJMER",BHLW1,"ITO WARD 1 BHL","INCOME TAX OFFICE","SHASTRI NAGAR",BHILWARA,311001,ITO,4
"Central Board of Direct Taxes (Income Tax)","Addl. CIT RangeBhilwara",BHLW2,"ITO Ward2 BHL","Income Tax Office","Shastri Nagar",Bhilwara,311001,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)","Addl. CIT RangeBhilwara",BHLW3,"ITO Ward 3 Bhilwara","Income Tax Office","Shastri Nagar",Bhilwara,311001,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)","Addl. CIT RangeBhilwara",BHLW4,"ITO WARD 4 BHILWARA","Income Tax Office","Shastri Nagar",Bhilwara,311001,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)","Addl. CIT RangeBhilwara",BHLW5,"ITO WARD 5 BHILWARA","Income Tax Office","Shastri Nagar",Bhilwara,311001,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)","Income Tax Department",BHMPR,"Berhampur Range Incometax Department","AAYAKAR BHAWAN  Berhampur",Ambapua,NA,760010,"Addl Commissioer of Incometax",4
"Central Board of Direct Taxes (Income Tax)","PR.COMMISSIONER OF INCOME TAX VADODARA 3 VADODARA",BHONE,"Addl. Commissioner of Income tax","Income-tax Office  Harikunj Building  Station Road",Bharuch.,NA,392001,"JOINT CIT Range 1 Bharuch",4
"Central Board of Direct Taxes (Income Tax)","Central Board of Direct Taxes (Income Tax)",BHOPA,"CHIEF COMMISSIONER OF INCOME TAX BHOPAL","PRINCIPAL CHIEF COMMISSIONER OF INCOME TAX  BHOPAL","AAYAKAR BHAWAN  HOSHANGABAD ROAD BHOPAL-462 011",NA,462011,"Pr. CCIT",2
"Central Board of Direct Taxes (Income Tax)","PR.COMMISSIONER OF INCOME TAX VADODARA 3 VADODARA",BHTWO,"Addl. Commissioner of Income tax","Income tax Office Harikunj Building  Station Road",Bharuch.,NA,392001,"Joint CIT Range 2 Bharuch",4
"Central Board of Direct Taxes (Income Tax)","Central Board of Direct Taxes (Income Tax)",BHUBA,"Pr. Chief Commissioner of Income Tax, Bhubaneswar","AAYKAR BHAWAN","RAJASW VIHAR",BHUBANESWAR,751007,"Pr. CCIT",2
"Central Board of Direct Taxes (Income Tax)","Addl. Commissioner of Income tax",BHWR1,ITO,"ABOVE BANK OF BARODA","STATION ROAD",BHARUCH,NA,"INCOME TAX OFFICER",5
"Central Board of Direct Taxes (Income Tax)","Addl. Commissioner of Income tax",BHWR2,ITO,"ABOVE BANK OF BARODA","STATION ROAD",BHARUCH,392001,"INCOME TAX OFFICER",5
"Central Board of Direct Taxes (Income Tax)","Addl. Commissioner of Income tax",BHWR3,ITO,"ABOVE BANK OF BARODA","STATION ROAD",BHARUCH,392001,"INCOME TAX OFFICER",5
"Central Board of Direct Taxes (Income Tax)","Addl. Commissioner of Income tax",BHWR4,ITO,"ABOVE BANK OF BAORDA","STATION ROAD",BHARUCH,392001,"INCOME TAX OFFICER",5
"Central Board of Direct Taxes (Income Tax)","Addl. Commissioner of Income tax",BHWR5,ITO,"ABOVE BANK OF BARODA","STATION ROAD",BHARUCH,392001,"INCOME TAX OFFICER",5
"Central Board of Direct Taxes (Income Tax)","INCOME TAX DEPARTMENT",BIC21,"DCIT 2.1 BHILAI","INCOME TAX OFFICE  32/32 BUNGALOW","Amdi nagar  Hudco",Bhilai,490006,"ASTT. COMMISSIONER INCOME TAX",5
"Central Board of Direct Taxes (Income Tax)","INCOME TAX DEPARTMENT",BIW11,"ITO 1.1 BHILAI","AAYAKAR BHAWAN","CIVIC CENTRE",BHILAI,490006,"INCOME TAX OFFICER",5
"Central Board of Direct Taxes (Income Tax)","INCOME TAX DEPARTMENT",BIW12,"ITO 1.2 BHILAI","AAYAKAR BHAWAN CIVIC CENTRE BHILAI",NA,NA,490006,"INCOME TAX OFFICER",5
"Central Board of Direct Taxes (Income Tax)","INCOME TAX DEPARTMENT",BIW13,"ITO 1.3 BHILAI","AAYAKAR BHAWAN","CIVIC CENTRE",BHILAI,490006,"INCOME TAX OFFICER",5
"Central Board of Direct Taxes (Income Tax)","INCOME TAX DEPARTMENT",BIW14,"ITO 1.4 BHILAI","AAYAKAR BHAWAN","CIVIC CENTRE",BHILAI,490006,"INCOME TAX OFFICER",5
"Central Board of Direct Taxes (Income Tax)","INCOME TAX DEPARTMENT",BIW15,"ITO 1.5","AAYAKAR BHAWAN","CIVIC CENTRE",BHILAI,490006,"INCOME TAX OFFICER",5
