"Name of Institution","Name of Faculty","Name of Department",Level,Programme,"Name of Discipline",Intake,"Examination System"
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,"Post Graduate","M.P.Ed.-Master of Physical Education","Physical Education",30,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,"Post Graduate","M.S.W.-Master of Social Work",Sociology,60,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,"Under Graduate","B.A.(Hons)-Bachelor of Arts (Honors)",Economics,100,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,"Under Graduate","B.A.(Hons)-Bachelor of Arts (Honors)",History,30,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,"Under Graduate","B.A.(Hons)-Bachelor of Arts (Honors)",Psychology,35,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,"Under Graduate","B.A.(Hons)-Bachelor of Arts (Honors)",Sociology,120,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,"Under Graduate","B.Ed.-Bachelor of Education",Education,125,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,"Under Graduate","B.Lib.I.Sc.-Bachelor of Library and Information Science","Library and Information Science",50,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,"Under Graduate","B.P.Ed.-Bachelor of Physical Education","Physical Education",50,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,"Under Graduate","B.S.W.-Bachelor of Social Work",Sociology,150,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Theology",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Sunni Theology",53,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Theology",NA,"Post Graduate","M.A.-Master of Arts","Shia Theology",5,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Theology",NA,"Post Graduate","M.A.-Master of Arts","Sunni Theology",20,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Theology",NA,"Under Graduate","B.A.(Hons)-Bachelor of Arts (Honors)","Shia Theology",15,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Theology",NA,"Under Graduate","B.A.(Hons)-Bachelor of Arts (Honors)","Sunni Theology",20,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Unani Medicine",NA,"Post Graduate","M.D.-Doctor of Medicine","Amraz-e-Jild wa Zohrawiya",5,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Unani Medicine",NA,"Post Graduate","M.D.-Doctor of Medicine",Kulliyat,4,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Unani Medicine",NA,"Post Graduate","M.D.-Doctor of Medicine",Moalejat,4,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Unani Medicine",NA,"Under Graduate","B.U.M.S.-Bachelor of Unani Medicine and Surgery",Unani,60,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Institute of Biotechnology",NA,"Post Graduate","M.Sc.-Master of Science",Biotechnology,14,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Women's College, Aligarh",NA,"Under Graduate","B.A.-Bachelor of Arts","Hindi,English,Urdu,Arabic,Sanskrit,Persian,Geography,Fine Arts,Linguistics and Philosophy",235,Annual
"Alliance University. Bangalore (Id: U-0213)","Alliance College of Engineering and Design",NA,"Under Graduate","B.Tech.-Bachelor of Technology","Under Graduate",60,Semester
"Alliance University. Bangalore (Id: U-0213)","Alliance College of Engineering and Design",NA,"Under Graduate","B.Tech.-Bachelor of Technology","Under Graduate",60,Semester
"Alliance University. Bangalore (Id: U-0213)","Alliance College of Engineering and Design",NA,"Under Graduate","B.Tech.-Bachelor of Technology","Under Graduate",60,Semester
"Alliance University. Bangalore (Id: U-0213)","Alliance College of Engineering and Design",NA,"Under Graduate","B.Tech.-Bachelor of Technology","Under Graduate",60,Semester
"Alliance University. Bangalore (Id: U-0213)","Alliance College of Engineering and Design",NA,"Under Graduate","B.Tech.-Bachelor of Technology","Under Graduate",60,Semester
"Alliance University. Bangalore (Id: U-0213)","Alliance College of Engineering and Design",NA,"Under Graduate","B.Tech.-Bachelor of Technology","Under Graduate",60,Semester
"Alliance University. Bangalore (Id: U-0213)","Alliance College of Engineering and Design",NA,"Under Graduate","B.Tech.-Bachelor of Technology","Under Graduate",60,Semester
"Alliance University. Bangalore (Id: U-0213)","Alliance School of Business",NA,"Post Graduate","M.B.A.- Master of Business Administration","Post Graduate",600,Semester
"Alliance University. Bangalore (Id: U-0213)","Alliance School of Business",NA,"Post Graduate","M.Com.-Master of Commerce","Post Graduate",60,Semester
"Alliance University. Bangalore (Id: U-0213)","Alliance School of Business",NA,"Post Graduate","M.F.M. -Master of Financial Management","Post Graduate",60,Semester
"Alliance University. Bangalore (Id: U-0213)","Alliance School of Business",NA,"Under Graduate","B.B.M.-Bachelor of Business Management","Under Graduate",180,Semester
"Alliance University. Bangalore (Id: U-0213)","Alliance School of Business",NA,"Under Graduate","B.Com.-Bachelor of Commerce","Under Graduate",120,Semester
"Alliance University. Bangalore (Id: U-0213)","Alliance School of Law",NA,"Under Graduate","L.L.B.-Bachelor of Law or Laws","Under Graduate",120,Semester
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Anaesthesiology,"Post Graduate","M.D.-Doctor of Medicine",Anaesthesiology,13,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Anatomy,Ph.D.,"Ph.D.-Doctor of Philosophy",Anatomy,5,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Anatomy,"Post Graduate","M.D.-Doctor of Medicine",Anatomy,7,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Anatomy,"Post Graduate","M.Sc.(Medical Anatomy) -Master of Science in Medical Anatomy",Anatomy,5,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Bio-Chemistry,Ph.D.,"Ph.D.-Doctor of Philosophy",BioChemistry,5,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Bio-Chemistry,"Post Graduate","M.D.-Doctor of Medicine",BioChemistry,5,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Bio-Chemistry,"Post Graduate","M.Sc.(Medical Bio-Chemistry)-Master of Science in Medical Bio-Chemistry",BioChemistry,5,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Bio-Physics,Ph.D.,"Ph.D.-Doctor of Philosophy",BioPhysics,10,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Bio-Physics,"Post Graduate","M.D.-Doctor of Medicine",BioPhysics,5,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Bio-Physics,"Post Graduate","M.Sc.-Master of Science",BioPhysics,5,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Biostatistics,Ph.D.,"Ph.D.-Doctor of Philosophy",BioStatistics,2,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Bio-Technology,Ph.D.,"Ph.D.-Doctor of Philosophy",Bio-Technology,3,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Bio-Technology,"Post Graduate","M.Sc. Tech. -Master of Science in Technology",Bio-Technology,14,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Cardiac Anaesthesia (CTC)",Ph.D.,"D.M.-Doctor of Medicine","Cardiac Anaesthesiiogy",3,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Cardiac-Biochemistry (CTC)",Ph.D.,"Ph.D.-Doctor of Philosophy","Cardiac Biochemistry",0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Cardiac Pathology (CTC)",Ph.D.,"Ph.D.-Doctor of Philosophy","Cardiac Pathology",0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Cardiac Radiology (CTC)",Ph.D.,"Ph.D.-Doctor of Philosophy","Cardiac radiology",0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Cardiology (Trauma Centre)",Ph.D.,"D.M.-Doctor of Medicine",Cardiology,3,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Cardiology (Trauma Centre)",Ph.D.,"Ph.D.-Doctor of Philosophy",Cardiology,0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Center for Dental Education and Research",Ph.D.,"Ph.D.-Doctor of Philosophy","Dental Surgery",0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Center for Dental Education and Research","Post Graduate","M.D.S.-Master of Dental Surgery","Cons. Dentistry",4,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Center for Dental Education and Research","Post Graduate","M.D.S.-Master of Dental Surgery","Oral and Maxillofacila",4,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Center for Dental Education and Research","Post Graduate","M.D.S.-Master of Dental Surgery",Orthodontics,4,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Center for Dental Education and Research","Post Graduate","M.D.S.-Master of Dental Surgery",Prosthodontics,4,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Cl.Pharmacology (Dr. BR Ambedkar IRCH)",Ph.D.,"D.M.-Doctor of Medicine",Cl.Pharmacology,4,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"College of Nursing","Post Graduate","M.Sc. Nursing-Master of Science in Nursing","cardio/ctvs nursingh",6,Annual
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"College of Nursing","Post Graduate","M.Sc. Nursing-Master of Science in Nursing","neuro sciences nursing",6,Annual
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"College of Nursing","Post Graduate","M.Sc. Nursing-Master of Science in Nursing","Paeditrich. Nursing",7,Annual
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"College of Nursing","Post Graduate","M.Sc. Nursing-Master of Science in Nursing","psychiatric nursing",3,Annual
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"College of Nursing","Under Graduate","B.Sc.(Nursing)-Bachelor of Science in Nursing","Honours Nursing",77,Annual
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"College of Nursing","Under Graduate","B.Sc.(Nursing)-Bachelor of Science in Nursing","Nursing Post ceritifacate",25,Annual
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Community Medicine","Post Graduate","M.D.-Doctor of Medicine","Community Medicine",8,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Community Ophthalmology (R.P.Centre)",Ph.D.,"Ph.D.-Doctor of Philosophy","Community Ophthalmology",0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"C.T.V.S. (CTC)",Ph.D.,"Ph.D.-Doctor of Philosophy",CTVS,0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"C.T.V.S. (CTC)","Post Graduate","M.Ch.-Master of Chirurgiae",CTVS,5,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"C.T.V.S. (CTC)","Post Graduate","M.Sc.-Master of Science","M.Sc. Perfusion Technology",6,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Dermatology and Venereology",Ph.D.,"Ph.D.-Doctor of Philosophy","Derma and Venereology",2,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Dermatology and Venereology","Post Graduate","M.D.-Doctor of Medicine","Derma and Venereology",5,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Emergency Medicine",Ph.D.,"Ph.D.-Doctor of Philosophy","Emergency Medicine",0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Emergency Medicine","Post Graduate","M.D.-Doctor of Medicine","Emergency Medicine",4,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Endocrinology and Metabolism",Ph.D.,"D.M.-Doctor of Medicine","Endocrinology and Metabolisim",1,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Endocrinology and Metabolism",Ph.D.,"Ph.D.-Doctor of Philosophy","Endocrinology and Metabolisim",0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"E.N.T. (Otorhinolaryingology)",Ph.D.,"Ph.D.-Doctor of Philosophy",ENT,0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"E.N.T. (Otorhinolaryingology)","Post Graduate","M.S.-Master of Surgery","E.N.T. (Otorhinolaryingology)",5,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Forensic Medicine and Toxicology",Ph.D.,"Ph.D.-Doctor of Philosophy","Forensic Medicine",0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Forensic Medicine and Toxicology","Post Graduate","M.D.-Doctor of Medicine","Forensic Medicine",3,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Gastroenterology and Human Nutrition Unit",Ph.D.,"D.M.-Doctor of Medicine",Gastroentrology,3,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Gastroenterology and Human Nutrition Unit",Ph.D.,"Ph.D.-Doctor of Philosophy","Gastro and HNU",3,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Geriatric Medicine",Ph.D.,"Ph.D.-Doctor of Philosophy","Geriatric Medicine",2,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Geriatric Medicine","Post Graduate","M.D.-Doctor of Medicine","Geriatric Medicine",5,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"G.I. Surgery and Liver Transplantation",Ph.D.,"Ph.D.-Doctor of Philosophy","Gastrointestinal Surgery",0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"G.I. Surgery and Liver Transplantation","Post Graduate","M.Ch.-Master of Chirurgiae","G I Surgery",3,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Haematology,Ph.D.,"D.M.-Doctor of Medicine","Cl Haematology",1,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Haematology,Ph.D.,"D.M.-Doctor of Medicine",Haemato-Pathology,2,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Haematology,Ph.D.,"Ph.D.-Doctor of Philosophy",Haematology,2,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Hospital Administration",Ph.D.,"Ph.D.-Doctor of Philosophy","Hospital Administration",2,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Hospital Administration","Post Graduate","M.H.A. -Master of Hospital Administration","Mospital Administration",5,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Laboratory Medicine",Ph.D.,"Ph.D.-Doctor of Philosophy","Lab Medicine",3,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Laboratory Medicine","Post Graduate","M.D.-Doctor of Medicine","Lab Medicine",4,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Medical Oncology (Dr. BR Ambedkar IRCH)",Ph.D.,"D.M.-Doctor of Medicine","Medical Oncology",3,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Medical Oncology (Dr. BR Ambedkar IRCH)",Ph.D.,"Ph.D.-Doctor of Philosophy","Medical Oncology",0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Medical Physics (Dr. BR Ambedkar IRCH)",Ph.D.,"Ph.D.-Doctor of Philosophy","Medical Physics",2,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Medicine,Ph.D.,"Ph.D.-Doctor of Philosophy",Medicine,4,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Medicine,"Post Graduate","M.D.-Doctor of Medicine",Medicine,19,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Microbiology,Ph.D.,"Ph.D.-Doctor of Philosophy",Microbiology,2,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Microbiology,"Post Graduate","M.D.-Doctor of Medicine",Microbiology,5,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Nephrology,Ph.D.,"D.M.-Doctor of Medicine",Nephrology,2,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Nephrology,Ph.D.,"Ph.D.-Doctor of Philosophy",Nephrology,0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Neuro-Anaesthesia (NSC)",Ph.D.,"D.M.-Doctor of Medicine",Neuro-Anaesthisiology,1,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Neuro-Anaesthesia (NSC)",Ph.D.,"Ph.D.-Doctor of Philosophy",Neuro-Anaesthisiology,0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Neuro-Biochemistry (NSC)",Ph.D.,"Ph.D.-Doctor of Philosophy",Neuro-Biochemistry,0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Neurology (NSC)",Ph.D.,"D.M.-Doctor of Medicine",Neurology,3,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Neurology (NSC)",Ph.D.,"Ph.D.-Doctor of Philosophy",Neurology,0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Neurology (NSC)",Ph.D.,"Ph.D.-Doctor of Philosophy","Neuro Psychology",0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Neuro-Radiology (NSC)",Ph.D.,"D.M.-Doctor of Medicine","neuro Radiology",4,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Neuro Surgery (NSC)",Ph.D.,"Ph.D.-Doctor of Philosophy","Neuro Surgery",1,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Neuro Surgery (NSC)",Ph.D.,"Ph.D.-Doctor of Philosophy",Neuro-Surgery,1,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Neuro Surgery (NSC)","Post Graduate","M.Ch.-Master of Chirurgiae","Neuro Surgery",2,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Neuro Surgery (NSC)","Post Graduate","M.Ch.-Master of Chirurgiae",Neuro-Surgery,20,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Nuclear Magnetic Resonance",Ph.D.,"Ph.D.-Doctor of Philosophy",NMR,1,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Nuclear Medicine",Ph.D.,"Ph.D.-Doctor of Philosophy","Nuclear Medicine",0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Nuclear Medicine","Post Graduate","M.D.-Doctor of Medicine","Nuclear Medicine",5,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Nuclear Medicine","Post Graduate","M.Sc.-Master of Science","MSc Nuclear Medicine Tech.",7,Annual
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Obstetrics and Gynaecology",Ph.D.,"Ph.D.-Doctor of Philosophy","Obst. and Gynae.",2,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Obstetrics and Gynaecology","Post Graduate","M.D.-Doctor of Medicine","Obst. and Gynae.",15,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Ocular Biochemistry (R.P.Centre)",Ph.D.,"Ph.D.-Doctor of Philosophy","Ocular Biochemistry",0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Ocular Microbiology (R.P.Centre)",Ph.D.,"Ph.D.-Doctor of Philosophy","Ocular Microbiology",0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Ocular Pathology (R.P.Centre)",Ph.D.,"Ph.D.-Doctor of Philosophy","Ocular Pathologyology",0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Ocular Pharmacology (R.P.Centre)",Ph.D.,"Ph.D.-Doctor of Philosophy","Oculur Pharmacology",0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Ophthalmology (R.P.Centre)",Ph.D.,"Ph.D.-Doctor of Philosophy",Ophathalmology,1,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Ophthalmology (R.P.Centre)","Post Graduate","M.D.-Doctor of Medicine",Ophathalmology,38,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Ophthalmology (R.P.Centre)","Under Graduate","B.Sc.(Nursing)-Bachelor of Science in Nursing","B.Sc Hons ophthalmic tech",19,Annual
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Orthopaedics,Ph.D.,"Ph.D.-Doctor of Philosophy",Orthopaedics,0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Orthopaedics,"Post Graduate","M.S.-Master of Surgery",Orthopaedics,7,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Paediatrics,Ph.D.,"D.M.-Doctor of Medicine",Neonatology,2,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Paediatrics,Ph.D.,"D.M.-Doctor of Medicine","Ped. Neurology",3,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Paediatrics,Ph.D.,"Ph.D.-Doctor of Philosophy",Paediatrics,9,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Paediatrics,"Post Graduate","M.D.-Doctor of Medicine",Paediatrics,10,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Paediatrics Surgery",Ph.D.,"Ph.D.-Doctor of Philosophy","Paediatric Surgery",1,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Paediatrics Surgery","Post Graduate","M.Ch.-Master of Chirurgiae","Paediatrics Surgery",1,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Paediatrics Surgery","Post Graduate","M.Ch.-Master of Chirurgiae","Paediatric Surgery",1,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Pathology,Ph.D.,"Ph.D.-Doctor of Philosophy",Pathology,3,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Pathology,"Post Graduate","M.D.-Doctor of Medicine",Pathology,10,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Pharmacology,Ph.D.,"Ph.D.-Doctor of Philosophy",Pharmacology,5,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Pharmacology,"Post Graduate","M.D.-Doctor of Medicine",Pharmacology,5,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Pharmacology,"Post Graduate","M.Sc.(Medical Pharmacology)-Master of Science in Medical Pharmacology",Pharmacology,5,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Physical Medicine and Rehabilitaion",Ph.D.,"Ph.D.-Doctor of Philosophy",PMR,0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Physical Medicine and Rehabilitaion","Post Graduate","M.D.-Doctor of Medicine",PMR,4,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Physiology,Ph.D.,"Ph.D.-Doctor of Philosophy",Physiology,8,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Physiology,"Post Graduate","M.D.-Doctor of Medicine",Physiology,6,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Physiology,"Post Graduate","M.Sc.(Medical Physiology)-Master of Science in Medical Physiology",Physiology,5,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Psychiatry,Ph.D.,"Ph.D.-Doctor of Philosophy",Psychiatry,3,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Psychiatry,"Post Graduate","M.D.-Doctor of Medicine",Psychiatry,11,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Pulmonary Medicine and Sleep Disorders",Ph.D.,"D.M.-Doctor of Medicine","Phulmonary and sleep",2,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Pulmonary Medicine and Sleep Disorders",Ph.D.,"Ph.D.-Doctor of Philosophy","Phulmonary and sleep disorders",2,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Radio Diagnosis",Ph.D.,"Ph.D.-Doctor of Philosophy",RadioDiagnosis,0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Radio Diagnosis","Post Graduate","M.D.-Doctor of Medicine","Radio Diagnosis",10,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Radio Diagnosis","Under Graduate","B.Sc.(Nursing)-Bachelor of Science in Nursing","B.sc Hons in MTR",10,Annual
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Radiotherapy (Dr. BR Ambedkar IRCH)",Ph.D.,"Ph.D.-Doctor of Philosophy",RadioTherapy,0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Radiotherapy (Dr. BR Ambedkar IRCH)","Post Graduate","M.D.-Doctor of Medicine",RadipTherapy,4,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Reproductive Biology",Ph.D.,"Ph.D.-Doctor of Philosophy","Reproductive Biology",1,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Surgical Disciplines",Ph.D.,"Ph.D.-Doctor of Philosophy",Surgery,0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Surgical Disciplines","Post Graduate","M.S.-Master of Surgery",Surgery,19,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Surgical Oncology (Dr. BR Ambedkar IRCH)","Post Graduate","M.Ch.-Master of Chirurgiae","Surgical Oncology",2,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,"Transplantation Immunology and Immunogenetics",Ph.D.,"Ph.D.-Doctor of Philosophy","Transplantation Immunology and Immunogenetics",0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Urology,Ph.D.,"Ph.D.-Doctor of Philosophy",Urology,0,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,Urology,"Post Graduate","M.Ch.-Master of Chirurgiae",Urology,1,"Not Applicable"
"All India Institute of Medical Sciences (Id: U-0096)",AIIMS,NA,"Under Graduate","M.B.B.S.-Bachelor of Medicine and Bachelor of Surgery","General Medicine",77,Semester
