"Sl. No.",State,"Name Of University","Name Of College","Arts - Male","Arts - Female","Science - Male","Science - Female","Commerce - Male","Commerce - Female","Computer App / Computer Science - Male","Computer App / Computer Science - Female","Management - Male","Management - Female","Education - Male","Education - Female","Engineering and Technology - Male","Engineering and Technology - Female","Medicine - Male","Medicine - Female","Agriculture - Male","Agriculture - Female","Veterinary Science - Male","Veterinary Science - Female","Law - Male","Law - Female","Others - Male","Others - Female","Total - Male","Total - Female","Grand Total"
912,Assam,"Assam University, Silchar (Id: U-0050)","Kapili College (Id: C-26442)",942,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,942,858,1800
913,Assam,"Assam University, Silchar (Id: U-0050)","West Silchar College (Id: C-26443)",159,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,200,359
914,Assam,"Assam University, Silchar (Id: U-0050)","R.K.Nagar College (Id: C-26452)",256,256,50,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,300,606
915,Assam,"Dibrugarh University, Dibrugarh (Id: U-0051)","Moran College P.O. Moran-785670 (Id: C-8354)",626,528,160,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786,632,1418
916,Assam,"Dibrugarh University, Dibrugarh (Id: U-0051)","Moridhol College P.O. Moridhol-787057 (Id: C-8355)",235,177,78,39,5,0,0,0,0,0,19,28,0,0,0,0,0,0,0,0,0,0,0,0,337,249,586
917,Assam,"Dibrugarh University, Dibrugarh (Id: U-0051)","O.P.D. College. Panigaon (Id: C-8356)",100,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,66,166
918,Assam,"Dibrugarh University, Dibrugarh (Id: U-0051)","United Tribal Degree College,P.O.Bilmukh, Dist.Lakhimpur (Id: C-8357)",760,722,0,0,0,0,0,0,0,0,34,26,0,0,0,0,0,0,0,0,0,0,0,0,794,748,1542
919,Assam,"Assam Agricultural University, Jorhat (Id: U-0048)","College of Fisheries Science (Id: C-24842)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,29,0,0,0,0,57,29,86
920,Assam,"Dibrugarh University, Dibrugarh (Id: U-0051)","Sankardev Mahavidiyalaya P.O.Pathalipahar-784163 (Id: C-8358)",406,447,0,0,0,0,0,0,0,0,40,51,0,0,0,0,0,0,0,0,0,0,0,0,446,498,944
921,Assam,"Dibrugarh University, Dibrugarh (Id: U-0051)","Nowboicha College P.O.Doolahat-787027 (Id: C-8359)",292,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,273,565
922,Assam,"Dibrugarh University, Dibrugarh (Id: U-0051)","Harhi College P.O. Harhi, Dhakuakhana (Id: C-8362)",518,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,499,1017
923,Assam,"Dibrugarh University, Dibrugarh (Id: U-0051)","Pub Majuli College P.O. Majuli (Id: C-8363)",113,107,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,121,110,231
924,Assam,"Dibrugarh University, Dibrugarh (Id: U-0051)","Laluk College P.O.Laluk-784160 (Id: C-8366)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
925,Assam,"Dibrugarh University, Dibrugarh (Id: U-0051)","Duliajan Girls College P.O.Duliajan-786602 (Id: C-8367)",0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,454
926,Assam,"Dibrugarh University, Dibrugarh (Id: U-0051)","Lakhimpur Kendriya Mahavidiyalaya. Lakhimpur--787001 (Id: C-8368)",349,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,239,588
927,Assam,"Dibrugarh University, Dibrugarh (Id: U-0051)","Tingkhong College P.O Tingkhong- 786612 (Id: C-8361)",162,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,172,334
