StateName,state_id,DistrictName,DISTRICT_ID,TotalUAM,General,SC,ST,OBC,_CreatedDate
"MADHYA PRADESH",23,UJJAIN,402,14665,6124,2689,1661,4191,2022-04-01T08:30:27.603
MAHARASHTRA,27,AKOLA,459,13860,6523,2079,196,5062,2022-04-01T08:30:32.040
MAHARASHTRA,27,"MUMBAI SUBURBAN",476,161337,144779,7036,637,8885,2022-04-01T08:30:32.040
MAHARASHTRA,27,"NAN DED",469,11529,7116,1441,248,2724,2022-04-01T08:30:32.040
MAHARASHTRA,27,SOLAPUR,484,28107,18494,2279,206,7128,2022-04-01T08:30:32.040
MAHARASHTRA,27,WARDHA,462,15641,4394,2220,656,8371,2022-04-01T08:30:32.040
MANIPUR,14,BISHNUPUR,282,1529,1136,206,10,177,2022-04-01T08:30:40.870
MANIPUR,14,"IMPHAL WEST",284,5361,4450,133,179,599,2022-04-01T08:30:40.870
MEGHALAYA,17,"EAST JAINTIA HILLS",640,19,7,0,8,4,2022-04-01T08:30:41.230
MEGHALAYA,17,"WEST KHASI HILLS",303,50,4,0,44,2,2022-04-01T08:30:41.230
MIZORAM,15,LAWNGTLAI,294,43,6,1,36,0,2022-04-01T08:30:41.433
MIZORAM,15,LUNGLEI,293,165,15,0,150,0,2022-04-01T08:30:41.433
MIZORAM,15,SAIHA,295,28,2,0,26,0,2022-04-01T08:30:41.433
NAGALAND,13,DIMAPUR,276,553,163,14,350,26,2022-04-01T08:30:41.620
NAGALAND,13,TUENSANG,272,12,2,0,9,1,2022-04-01T08:30:41.620
NAGALAND,13,WOKHA,275,49,5,0,44,0,2022-04-01T08:30:41.620
ODISHA,21,GAJAPATI,20,646,261,57,137,191,2022-04-01T08:30:41.810
ODISHA,21,GANJAM,19,7357,4164,612,52,2529,2022-04-01T08:30:41.810
ODISHA,21,JHARSUGUDA,2,1343,1054,61,40,188,2022-04-01T08:30:41.810
ODISHA,21,KALAHANDI,26,945,494,103,22,326,2022-04-01T08:30:41.810
ODISHA,21,SUNDARGARH,5,3875,3204,145,287,239,2022-04-01T08:30:41.810
PUNJAB,3,AMRITSAR,57,7552,6587,446,4,515,2022-04-01T08:30:42.667
PUNJAB,3,GURDASPUR,59,3095,2581,231,7,276,2022-04-01T08:30:42.667
PUNJAB,3,LUDHIANA,67,30207,27011,1839,44,1313,2022-04-01T08:30:42.667
PUNJAB,3,MOGA,71,5498,4523,450,4,521,2022-04-01T08:30:42.667
PUNJAB,3,PATHANKOT,615,1050,857,97,2,94,2022-04-01T08:30:42.667
PUNJAB,3,PATIALA,616,8530,7346,488,9,687,2022-04-01T08:30:42.667
PUNJAB,3,SANGRUR,68,5434,3988,804,11,631,2022-04-01T08:30:42.667
PUNJAB,3,"SRI MUKTSAR SAHIB",73,2199,1824,208,0,167,2022-04-01T08:30:42.667
PUNJAB,3,"TARN TARAN",618,1925,1602,177,4,142,2022-04-01T08:30:42.667
RAJASTHAN,8,BIKANER,118,13291,7726,567,40,4958,2022-04-01T08:30:43.933
RAJASTHAN,8,CHURU,119,5516,2158,347,40,2971,2022-04-01T08:30:43.933
RAJASTHAN,8,JALORE,133,3171,1076,325,33,1737,2022-04-01T08:30:43.933
RAJASTHAN,8,JHALAWAR,146,2223,1189,149,74,811,2022-04-01T08:30:43.933
RAJASTHAN,8,JODHPUR,130,23497,11982,1364,156,9995,2022-04-01T08:30:43.933
RAJASTHAN,8,PRATAPGARH,625,1963,756,134,267,806,2022-04-01T08:30:43.933
RAJASTHAN,8,"SAWAI MADHOPUR",125,5187,2301,577,672,1637,2022-04-01T08:30:43.933
RAJASTHAN,8,UDAIPUR,141,16494,10788,987,552,4167,2022-04-01T08:30:43.933
"TAMIL NADU",33,KANCHIPURAM,570,53711,31810,4614,204,17083,2022-04-01T08:30:47.153
"TAMIL NADU",33,KARUR,581,5709,3448,360,12,1889,2022-04-01T08:30:47.153
"TAMIL NADU",33,NAGAPATTINAM,586,4714,2152,407,10,2145,2022-04-01T08:30:47.153
"TAMIL NADU",33,RAMANATHAPURAM,594,4360,2644,290,5,1421,2022-04-01T08:30:47.153
"TAMIL NADU",33,SALEM,575,23741,13713,1530,221,8277,2022-04-01T08:30:47.153
"TAMIL NADU",33,THANJAVUR,588,9787,5062,517,12,4196,2022-04-01T08:30:47.153
"TAMIL NADU",33,TIRUCHIRAPPALLI,582,17840,9999,1269,42,6530,2022-04-01T08:30:47.153
"TAMIL NADU",33,TIRUVANNAMALAI,573,6717,3414,622,64,2617,2022-04-01T08:30:47.153
"TAMIL NADU",33,VIRUDHUNAGAR,593,11504,7082,696,21,3705,2022-04-01T08:30:47.153
TELANGANA,36,HYDERABAD,494,48880,35367,3320,1181,9012,2022-04-01T08:30:52.183
TELANGANA,36,MAHABUBNAGAR,496,6119,1621,1669,1603,1226,2022-04-01T08:30:52.183
TELANGANA,36,"RAJANNA SIRCILLA",713,2342,582,663,219,878,2022-04-01T08:30:52.183
TELANGANA,36,SURYAPET,716,3854,569,1021,1552,712,2022-04-01T08:30:52.183
TELANGANA,36,"WARANGAL RURAL",721,2872,740,542,690,900,2022-04-01T08:30:52.183
TELANGANA,36,"WARANGAL URBAN",720,11627,3824,2018,529,5256,2022-04-01T08:30:52.183
TELANGANA,36,"YADADRI BHUVANAGIRI",719,1294,312,414,315,253,2022-04-01T08:30:52.183
TRIPURA,16,GOMATI,647,307,179,57,26,45,2022-04-01T08:30:53.823
TRIPURA,16,"SOUTH TRIPURA",297,322,191,25,61,45,2022-04-01T08:30:53.823
"UTTAR PRADESH",9,AMETHI,632,1658,991,115,6,546,2022-04-01T08:30:54.043
"UTTAR PRADESH",9,AURAIYA,178,3866,1169,801,34,1862,2022-04-01T08:30:54.043
"UTTAR PRADESH",9,BAGHPAT,154,1447,821,102,5,519,2022-04-01T08:30:54.043
"UTTAR PRADESH",9,BULANDSHAHAR,157,5753,3297,759,45,1652,2022-04-01T08:30:54.043
"UTTAR PRADESH",9,CHANDAULI,212,3960,1362,633,30,1935,2022-04-01T08:30:54.043
"UTTAR PRADESH",9,FARRUKHABAD,175,2321,1338,134,9,840,2022-04-01T08:30:54.043
"UTTAR PRADESH",9,FATEHPUR,188,2799,1238,418,19,1124,2022-04-01T08:30:54.043
"UTTAR PRADESH",9,GHAZIPUR,211,14762,3150,3407,221,7984,2022-04-01T08:30:54.043
"UTTAR PRADESH",9,JAUNPUR,210,29759,6609,7772,183,15195,2022-04-01T08:30:54.043
"UTTAR PRADESH",9,LUCKNOW,173,32902,24037,2036,105,6724,2022-04-01T08:30:54.043
"UTTAR PRADESH",9,PRATAPGARH,189,7761,3305,1013,45,3398,2022-04-01T08:30:54.043
"UTTAR PRADESH",9,"RAE BARELI",174,3216,1848,330,16,1022,2022-04-01T08:30:54.043
UTTARAKHAND,5,CHAMPAWAT,84,449,354,31,1,63,2022-04-01T08:30:58.467
UTTARAKHAND,5,HARIDWAR,87,4274,2890,274,18,1092,2022-04-01T08:30:58.467
UTTARAKHAND,5,"RUDRA PRAYAG",77,466,380,68,0,18,2022-04-01T08:30:58.467
UTTARAKHAND,5,"UDHAM SINGH NAGAR",86,4909,3371,299,102,1137,2022-04-01T08:30:58.467
UTTARAKHAND,5,UTTARKASHI,75,786,273,120,11,382,2022-04-01T08:30:58.467
"WEST BENGAL",19,DARJEELING,330,3386,2656,293,175,262,2022-04-01T08:30:58.903
"WEST BENGAL",19,HOOGHLY,341,5994,5181,429,28,356,2022-04-01T08:30:58.903
"WEST BENGAL",19,HOWRAH,345,6734,6327,178,15,214,2022-04-01T08:30:58.903
"WEST BENGAL",19,JALPAIGURI,331,2970,2063,535,190,182,2022-04-01T08:30:58.903
"WEST BENGAL",19,KALIMPONG,733,141,93,14,14,20,2022-04-01T08:30:58.903
"WEST BENGAL",19,KOLKOTA,346,23632,22630,502,41,459,2022-04-01T08:30:58.903
"WEST BENGAL",19,"SOUTH 24 PRAGANAS",347,9350,7456,1279,39,576,2022-04-01T08:30:58.903
"ANDAMAN AND NICOBAR ISLANDS",35,NIKOBARS,603,100,87,0,5,8,2022-04-01T08:31:00.340
"DAMAN AND DIU",25,DIU,452,145,119,4,0,22,2022-04-01T08:31:01.043
DELHI,7,"NEW DELHI",111,12322,10108,722,54,1438,2022-04-01T08:31:01.247
DELHI,7,"SOUTH ",115,20121,17585,874,94,1568,2022-04-01T08:31:01.247
"JAMMU AND KASHMIR",1,BANDIPORA,604,77,71,1,2,3,2022-04-01T08:31:02.467
"JAMMU AND KASHMIR",1,KATHUA,44,302,249,36,1,16,2022-04-01T08:31:02.467
"JAMMU AND KASHMIR",1,KULGAM,607,81,70,1,0,10,2022-04-01T08:31:02.467
"JAMMU AND KASHMIR",1,KUPWARA,31,62,56,1,0,5,2022-04-01T08:31:02.467
