state_name,state_id,district_name,lg_dt_code,medium,micro,small,total
"ANDHRA PRADESH",28,"Sri Sathya Sai",754,4,47553,95,47652
"ANDHRA PRADESH",28,SRIKAKULAM,519,18,58023,406,58447
"ANDHRA PRADESH",28,"WEST GODAVARI",523,118,101942,1695,103755
"ARUNACHAL PRADESH",12,ANJAW,628,0,192,1,193
"ARUNACHAL PRADESH",12,"DIBANG VALLEY",230,0,156,6,162
"ARUNACHAL PRADESH",12,"EAST KAMENG",231,0,711,7,718
"ARUNACHAL PRADESH",12,"EAST SIANG",232,0,1592,24,1616
"ARUNACHAL PRADESH",12,"KRA DAADI",677,0,299,2,301
"ARUNACHAL PRADESH",12,LONGDING,666,0,366,4,370
"ARUNACHAL PRADESH",12,"UPPER SIANG",240,0,276,3,279
ASSAM,18,CHARAIDEO,708,5,11143,41,11189
ASSAM,18,"DIMA HASAO",299,0,4402,24,4426
ASSAM,18,MARIGAON,296,4,24432,78,24514
BIHAR,10,ARARIA,188,8,45750,351,46109
BIHAR,10,LAKHISARAI,204,1,13289,72,13362
BIHAR,10,NALANDA,209,4,43666,249,43919
BIHAR,10,SAHARSA,216,6,30740,167,30913
CHHATTISGARH,22,"BALOD BAZAR",644,3,21627,298,21928
CHHATTISGARH,22,BALRAMPUR,649,0,8144,37,8181
CHHATTISGARH,22,BASTAR,374,5,17002,156,17163
CHHATTISGARH,22,BEMETARA,650,3,13974,79,14056
CHHATTISGARH,22,DANTEWADA,376,0,4533,33,4566
CHHATTISGARH,22,RAIGARH,386,63,31280,505,31848
GUJARAT,24,AMRELI,439,34,30233,446,30713
GUJARAT,24,"BANAS KANTHA",441,57,70471,1044,71572
GUJARAT,24,MAHESANA,451,203,59760,1938,61901
HARYANA,6,HISAR,63,91,77045,1125,78261
HARYANA,6,JHAJJAR,64,38,33316,869,34223
HARYANA,6,KURUKSHETRA,68,25,61596,518,62139
HARYANA,6,PALWAL,619,25,33403,394,33822
HARYANA,6,SIRSA,74,41,55937,562,56540
HARYANA,6,YAMUNANAGAR,76,29,62918,871,63818
"HIMACHAL PRADESH",2,KANGRA,18,12,40297,355,40664
JHARKHAND,20,GODDA,330,1,17711,73,17785
JHARKHAND,20,JAMTARA,333,2,9749,29,9780
JHARKHAND,20,LATEHAR,335,3,9947,47,9997
JHARKHAND,20,PALAMU,338,7,25643,182,25832
JHARKHAND,20,SAHEBGANJ,340,2,14170,100,14272
JHARKHAND,20,"WEST SINGHBHUM",343,5,20147,114,20266
KARNATAKA,29,"BENGALURU (RURAL)",526,141,109078,1517,110736
KARNATAKA,29,CHITRADURGA,533,22,44189,356,44567
KARNATAKA,29,"DAKSHIN KANNAD",534,80,90776,1210,92066
KARNATAKA,29,RAMANAGARA,631,22,41903,339,42264
KARNATAKA,29,SHIVAMOGGA,547,26,65155,609,65790
KARNATAKA,29,UDUPI,549,47,53836,604,54487
KARNATAKA,29,YADGIR,635,14,24971,222,25207
KERALA,32,ALAPPUZHA,554,18,56874,582,57474
KERALA,32,KASARAGOD,558,12,34782,295,35089
KERALA,32,THRISSUR,566,99,95009,1225,96333
"MADHYA PRADESH",23,ALIRAJPUR,639,0,8982,41,9023
"MADHYA PRADESH",23,BHIND,395,5,23947,126,24078
"MADHYA PRADESH",23,DEWAS,402,27,58600,389,59016
"MADHYA PRADESH",23,HOSHANGABAD,409,34,32684,306,33024
"MADHYA PRADESH",23,Maihar,784,2,2087,12,2101
"MADHYA PRADESH",23,NIWARI,722,1,4570,30,4601
"MADHYA PRADESH",23,RAISEN,421,23,31888,334,32245
"MADHYA PRADESH",23,RAJGARH,422,18,59920,374,60312
"MADHYA PRADESH",23,SAGAR,425,24,55732,415,56171
"MADHYA PRADESH",23,SEHORE,427,10,46656,321,46987
MAHARASHTRA,27,AKOLA,467,52,80219,670,80941
MAHARASHTRA,27,HINGOLI,477,10,38127,238,38375
MAHARASHTRA,27,JALNA,479,58,94130,548,94736
MAHARASHTRA,27,KOLHAPUR,480,166,260027,2401,262594
MAHARASHTRA,27,"MUMBAI SUBURBAN",483,1046,473166,8741,482953
MAHARASHTRA,27,"NAN DED",485,41,110041,729,110811
MAHARASHTRA,27,NASHIK,487,193,341794,3576,345563
MAHARASHTRA,27,RATNAGIRI,492,10,80368,330,80708
MAHARASHTRA,27,SANGLI,493,69,160380,1278,161727
MANIPUR,14,"IMPHAL EAST",255,1,27122,87,27210
MANIPUR,14,KAKCHING,711,1,5414,15,5430
MANIPUR,14,PHERZAWL,715,0,156,0,156
MANIPUR,14,UKHRUL,260,0,2709,7,2716
MEGHALAYA,17,"NORTH GARO HILLS",656,1,2057,6,2064
MEGHALAYA,17,"SOUTH GARO HILLS",277,0,2261,8,2269
MEGHALAYA,17,"SOUTH WEST KHASI HILLS",658,0,1443,2,1445
MIZORAM,15,Hnahthial,726,0,461,0,461
MIZORAM,15,LAWNGTLAI,264,0,1226,4,1230
MIZORAM,15,MAMIT,266,0,1233,4,1237
NAGALAND,13,Meluri,788,0,59,0,59
ODISHA,21,BALANGIR,345,14,37292,275,37581
ODISHA,21,JHARSUGUDA,357,16,19850,312,20178
ODISHA,21,"MALKANGIRI  ",364,0,13487,64,13551
ODISHA,21,NUAPADA,368,0,13046,71,13117
ODISHA,21,SAMBALPUR,371,17,31564,381,31962
PUNJAB,3,FAZILKA,651,28,40056,307,40391
PUNJAB,3,JALANDHAR,34,100,143586,1513,145199
RAJASTHAN,8,BARMER,90,52,66735,907,67694
RAJASTHAN,8,CHURU,96,10,71950,320,72280
RAJASTHAN,8,Deeg,767,0,5071,7,5078
RAJASTHAN,8,DUNGARPUR,99,3,29259,96,29358
RAJASTHAN,8,JAIPUR,102,588,527453,7365,535406
RAJASTHAN,8,"Jaipur Gramin",102,1,20630,47,20678
RAJASTHAN,8,JALORE,104,5,39781,232,40018
RAJASTHAN,8,JHUNJHUNU,106,12,79519,385,79916
RAJASTHAN,8,Kekri,86,0,1749,5,1754
RAJASTHAN,8,Sanchor,104,0,2023,7,2030
RAJASTHAN,8,UDAIPUR,117,79,115968,1178,117225
SIKKIM,11,Gangtok,225,10,8435,118,8563
SIKKIM,11,Namchi,227,3,4101,29,4133
